,Species,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Sweetness
1,Arabica,Ethiopia,8.67,8.83,8.67,8.75,10
2,Arabica,Ethiopia,8.75,8.67,8.5,8.58,10
3,Arabica,Guatemala,8.42,8.5,8.42,8.42,10
4,Arabica,Ethiopia,8.17,8.58,8.42,8.42,10
5,Arabica,Ethiopia,8.25,8.5,8.25,8.5,10
6,Arabica,Brazil,8.58,8.42,8.42,8.5,10
7,Arabica,Peru,8.42,8.5,8.33,8.5,10
8,Arabica,Ethiopia,8.25,8.33,8.5,8.42,9.33
9,Arabica,Ethiopia,8.67,8.67,8.58,8.42,9.33
10,Arabica,Ethiopia,8.08,8.58,8.5,8.5,10
11,Arabica,Ethiopia,8.17,8.67,8.25,8.5,10
12,Arabica,United States,8.25,8.42,8.17,8.33,10
13,Arabica,United States,8.08,8.67,8.33,8.42,10
14,Arabica,United States (Hawaii),8.33,8.42,8.08,8.25,10
15,Arabica,Ethiopia,8.25,8.33,8.5,8.25,9.33
16,Arabica,United States,8,8.5,8.58,8.17,10
17,Arabica,Indonesia,8.33,8.25,7.83,7.75,10
18,Arabica,Ethiopia,8.17,8.33,8.25,8.33,9.33
19,Arabica,China,8.42,8.25,8.08,8.17,10
20,Arabica,Ethiopia,8.17,8.17,8,8.17,10
21,Arabica,United States,8,8.25,8.08,8.5,10
22,Arabica,Costa Rica,8.08,8.25,8,8.17,10
23,Arabica,Mexico,8.17,8.25,8.17,8,10
24,Arabica,United States,8.25,8.33,8.17,8.17,10
25,Arabica,Ethiopia,8.42,8.17,7.92,8.17,10
26,Arabica,Brazil,8.5,8.5,8,8,10
27,Arabica,Ethiopia,7.83,8.25,8.08,8.17,10
28,Arabica,Uganda,8.42,8.17,8.17,8.17,10
29,Arabica,Honduras,8.17,8.08,8.08,8,10
30,Arabica,Taiwan,8,8,8,8.25,10
31,Arabica,Nicaragua,7.92,8.25,8,8.33,10
32,Arabica,"Tanzania, United Republic Of",8.42,8.17,8.17,8,10
33,Arabica,Brazil,8.5,8.17,8,7.75,10
34,Arabica,Costa Rica,8.17,7.83,8,8.08,10
35,Arabica,Ethiopia,8,8.08,7.92,8,10
36,Arabica,Kenya,8.08,8,8,8.25,10
37,Arabica,United States (Hawaii),8.08,8.17,8,7.92,10
38,Arabica,United States (Hawaii),8.25,8.42,8.08,7.75,10
39,Arabica,Ethiopia,7.92,7.75,8.08,8.08,10
40,Arabica,United States,7.67,8.17,8,8,10
41,Arabica,Thailand,7.83,8.33,7.83,8.25,10
42,Arabica,Brazil,8.17,7.92,7.92,7.75,10
43,Arabica,Brazil,8.42,7.92,8,7.75,10
44,Arabica,Taiwan,7.75,8.08,7.75,7.83,86.08
45,Arabica,Kenya,8.08,8.08,8,8,10
46,Arabica,Brazil,8.33,8,8,8,10
47,Arabica,Uganda,8.08,8.08,7.83,7.92,10
48,Arabica,Colombia,7.75,7.92,7.83,8.08,10
